
20080109,1,1,1,WONG'S FAVOURITE,G131,D Whyte,Y S Tsui,133,978,9,2.19.00,6,9,NA,NA,NA,NA,NA,NA,2008010901
20080109,1,2,12,CHALLENGER,E138,H W Lai,A Lee,110,1012,1,2.19.10,8.4,3,NA,NA,NA,NA,NA,0.75,2008010901
20080109,1,3,4,RED FORTUNE,E192,O Doleuze,A Schutz,128,977,2,2.19.60,8.9,NA,NA,NA,NA,NA,NA,4.25,2008010901
20080109,1,4,8,FLYING PROFILE,CD168,C Soumillon,D Cruz,122,1070,6,2.20.10,3.2,NA,NA,NA,NA,NA,NA,7.75,2008010901
20080109,1,5,5,VITALITY CHAMP,CD301,P H Lo,T K Ng,119,1150,3,2.20.30,58,1,NA,NA,NA,NA,NA,8.5,2008010901
20080109,1,6,7,SINOSPIEL,G003,K T Yeung,D E Ferraris,118,992,5,2.20.40,12,7,NA,NA,NA,NA,NA,9.25,2008010901
20080109,1,7,9,DANZIGMOUNTAIN,G139,E Saint-Martin,C S Shum,121,1024,8,2.20.70,17,11,NA,NA,NA,NA,NA,11,2008010901
20080109,1,8,6,FISHKING EXCELLENT,G232,W M Lai,P F Yiu,123,1047,7,2.20.80,6.4,6,NA,NA,NA,NA,NA,11.5,2008010901
20080109,1,9,11,MULLAAD,G259,M Nunes,D Cruz,116,1095,4,2.20.80,34,10,NA,NA,NA,NA,NA,11.75,2008010901
20080109,1,10,3,NATURAL ECHO,CB326,B Prebble,K L Man,130,1146,12,2.22.40,9.8,2,NA,NA,NA,NA,NA,22.25,2008010901
20080109,1,11,10,DANEPRINT,CC221,Y T Cheng,C H Yip,114,1087,10,2.25.40,23,4,NA,NA,NA,NA,NA,40.5,2008010901
20080109,1,12,2,MAKE A MINT,H005,M W Leung,S Woods,126,1084,11,2.26.30,70,12,NA,NA,NA,NA,NA,46.25,2008010901
20080109,2,1,6,FUN,H282,G Mosse,L Ho,122,1054,3,1.10.20,1.9,1,NA,NA,NA,NA,NA,NA,2008010902
20080109,2,2,12,KING CREOLE,G287,M Nunes,K W Lui,114,1046,9,1.10.20,14,9,NA,NA,NA,NA,NA,N,2008010902
20080109,2,3,5,MAGI JOY,H056,E Saint-Martin,Y S Tsui,123,1070,1,1.10.50,10,NA,NA,NA,NA,NA,NA,2.25,2008010902
20080109,2,4,2,RICH DRAGON,G079,C Soumillon,C Fownes,130,1128,10,1.10.60,8.1,12,NA,NA,NA,NA,NA,2.75,2008010902
20080109,2,5,10,LUCKY TYCOON,H318,O Doleuze,A Schutz,120,1063,7,1.11.20,22,7,NA,NA,NA,NA,NA,6,2008010902
